universe,model,IC,RankIC,ICIR,RankICIR
csi300,Ridge,0.0391106079216905,0.04996553270556227,0.2394997070722324,0.3042015776036357
csi300,Random Forest,0.04256972303483164,0.05306052764057833,0.24700611064062233,0.30722441211054635
csi300,XGBoost,0.04561921819452249,0.05640739854168568,0.27087454298228025,0.3293127138728453
csi300,StockMamba,0.03431219083504269,0.03901780442809154,0.20492355421914354,0.21928181612825093
csi300,ACT,0.05013258414143193,0.0617369418985393,0.28593370395217943,0.3319400707629914
csi300,PRISM-VQ,0.04883031249036913,0.05207084213595579,0.3103039900546712,0.320680343924546
csi300,MASTER,0.061969088276454434,0.07035725633577873,0.376015967898483,0.40985089402800917
csi300,DynaFuse,0.06528827177075505,0.07447249365453777,0.40536610551410057,0.44799372097240564
csi800,Ridge,0.032990658638239946,0.04807600465707563,0.24700094867119726,0.3516285533893653
csi800,Random Forest,0.03651223298593025,0.050703321875413356,0.25466822602955347,0.3394276895442882
csi800,XGBoost,0.03780883901216378,0.053359441902706875,0.2617884017771851,0.3509898787570377
csi800,StockMamba,0.03194024757388689,0.03644428118244499,0.23496650397067204,0.2429961421871237
csi800,ACT,0.03642250961942366,0.05658400791704495,0.23443888928710674,0.34389341903184684
csi800,PRISM-VQ,0.03890168356799238,0.04714317165222696,0.27279117986468693,0.30183280639371385
csi800,MASTER,0.049689145627854085,0.05831404574307822,0.3209693818279816,0.35314737086156406
csi800,DynaFuse,0.05187570405845605,0.06306563329578833,0.34980901747682236,0.3962228123716333
